city_ascii;lat;lng
Chiang Mai;187953;989986
Doha;252867;515333
Maputo;-259667;325833
Mbandaka;478;182558
Pikine;147500;-174000
Medina;244700;396100
Srinagar;340900;747900
Omsk;549667;733833
Dublin;533500;-62603
Liaoyuan;428976;1251381
Cilacap;-77167;1090170
Yingtan;282333;1170000
Bandar Lampung;-54500;1052667
Samara;532028;501408
Guankou;281417;1136250
Ulsan;355500;1293167
Dhanbad;237998;864305
Dingzhou;385158;1149845
Lianyuan;276961;1116659
Rongcheng;298239;1129019
Kaiyuan;360656;1138153
Nay Pyi Taw;197475;961150
Zhuji;297169;1202314
Kigali;-19536;300606
Bukavu;-25000;288667
Leiyang;264179;1128457
Bafoussam;54667;104167
Yichun;477235;1288893
Benin City;63333;56222
Rostov;472333;397000
Xiantao;303833;1134000
Amritsar;316400;748600
Callao;-120333;-771333
Salt Lake City;407776;-1119311
Aligarh;278800;780800
Shagamu;68333;36500
Yingchuan;341511;1134733
Ciudad Nezahualcoyotl;194081;-990186
Tbilisi;417225;447925
Guwahati;261722;917458
Ufa;547261;559475
Fes;340433;-50033
Sao Luis;-25283;-443044
Bien Hoa;109500;1068167
Sevilla;372400;-59900
N'Djamena;121100;150500
Mexicali;326633;-1154678
Nezahualcoyotl;194006;-990148
Ikare;75167;57500
Nashville;361715;-867842
Tamale;94075;-8533
Xibeijie;397370;985049
Yuyao;300372;1211546
Haora;225800;883294
Hanchuan;306520;1138274
Gongzhuling;435036;1248088
Krasnoyarsk;560089;928719
Cologne;509364;69528
Bujumbura;-33833;293667
Bishkek;428747;746122
Zhufeng;360000;1194167
Sao Goncalo;-228269;-430539
Yerevan;401814;445144
Ezhou;303972;1148842
Nur-Sultan;511472;714222
Tongjin;372333;1272000
Nouakchott;180858;-159785
Xiashi;305333;1206833
Ranchi;233600;853300
Taixing;321724;1200142
Vereeniging;-266736;279319
Gwalior;262215;781780
Zhongwei;375139;1051884
Goyang;376500;1268000
Oslo;599133;107389
Vijayawada;165193;806305
Chandigarh;307500;767800
Edmonton;535344;-1134903
Sendai;382682;1408694
Raleigh;358324;-786429
Mizhou;359900;1193801
Tunis;368064;101817
Xishan;276609;1134946
Barquisimeto;100678;-693467
Hegang;473139;1302775
Voronezh;516717;392106
Perm;580139;562489
Changwon;352708;1286631
Fangchenggang;216000;1083000
Shouguang;368833;1187333
Bogor;-65966;1067972
Cartagena;104000;-755000
Matola;-259667;324667
Jodhpur;262800;730200
Memphis;351087;-899663
Ogbomoso;81333;42500
Rangapukur;255600;892500
Managua;121544;-862738
Sanya;182533;1095036
Shymkent;423167;695958
Wutong;306326;1205474
Niamey;135150;21175
Shubra al Khaymah;301286;312422
Linhai;288523;1211409
Denizli;377667;290833
Maceio;-96658;-357350
Monrovia;63133;-108014
Wafangdian;396271;1219972
Zhongxiang;311690;1125853
Louisville;381663;-856485
Odesa;464775;307326
Thu Duc;108266;1067609
Volgograd;487086;445147
Islamabad;336931;730639
Port-au-Prince;185333;-723333
Xinyi;223559;1109369
Raipur;212500;816300
Arequipa;-164000;-715333
Richmond;375295;-774756
Zaoyang;321287;1127581
Buffalo;429018;-788487
Shuizhai;334433;1148994
Xingyi;250910;1049011
Kota;251800;758300
Quetta;301833;670000
Kathmandu;277172;853240
Ottawa;454247;-756950
Lilongwe;-139833;337833
Asmara;153228;389250
Freetown;84844;-132344
Vientiane;179667;1026000
Jerusalem;317784;352066
Riga;569489;241064
Bangui;43733;185628
Dushanbe;385367;687800
Lome;61319;12228
Ashgabat;379500;583833
Zagreb;458167;159833
Libreville;3903;94542
Cotonou;63667;24333
Pretoria;-257461;281881
Vilnius;546872;252800
Winnipeg;498844;-971464
Quebec City;468139;-712081
Chisinau;470228;288353
Port Moresby;-94789;1471494
Skopje;419961;214317
Djibouti;115883;431450
Gaza;315069;344560
Kingston;179714;-767931
Rabat;340209;-68416
San Salvador;136989;-891914
The Hague;520800;43100
Asuncion;-253000;-576333
Juba;48500;316000
Maseru;-293100;274800
Bissau;118500;-155667
Valletta;358983;145125
Bratislava;481439;171097
Kitchener;434186;-804728
